,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos,cluster_kpca_rbf
0,Retail,Other,12669,9656,7561,214,2674,1338,0.052873678513906085,-0.09570202833393904,0.0783737058955521,-0.1731146036428405,0.5047893015158403,0.009622306647377486,1
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.12964618401642966,-0.16045812129786965,0.18581254641290845,-0.30741471406459697,0.8899412223120095,-0.26283294632794424,1
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.21020537269667086,0.04844604646265678,0.3417015381326232,0.07504775170557658,0.4739940541267175,0.2356868332458663,1
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.21624322605827745,0.10516496683103856,-0.25330352365834563,0.2503524263190757,-0.6186114271241638,0.3701305442802823,4
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495105,0.26543162695756484,0.13661671368898715,0.3752792354602764,0.06889953794312631,0.8618293827365124,4
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.036466297361146295,-0.13284548868140938,-0.088953304338434,-0.21226471169213568,0.10295629527946527,-0.33045648010926554,0
6,Retail,Other,12126,3199,6975,480,3140,545,-0.0697155932203247,-0.11732621082881504,-0.14353041259380808,-0.1663058931990576,-0.0921679624177764,-0.2898919276536129,0
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.043759443842918765,-0.14661913883939387,0.0408969858378443,-0.2627155987279704,0.5540934639173398,-0.34755086203661506,1
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.09675019886902207,-0.20506029089817546,-0.22048402954290264,-0.3051577883697476,-0.15578901423447727,-0.6896927304727346,0
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.4936685721899786,-0.15555600801111785,0.7089688368462724,-0.2911925018216325,1.1648509491774437,0.02374672490646717,2
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.2106778090188271,-0.16964359555283165,0.3197406409241957,-0.3065245780476245,0.8649020932926701,-0.1928630625234264,1
11,Retail,Other,13146,1124,4523,1420,549,497,-0.2215069356965096,-0.04301981096108621,-0.3554518255692505,0.013874803248531666,-0.6524416952788552,-0.10638673171860977,0
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660786,0.2930467306242142,0.3854465445073945,0.33572883668073583,0.5189256754099244,0.8891844129165526,3
13,Retail,Other,21217,6208,14982,3095,6707,602,0.22492371282292772,0.08412699715331325,0.3895006007283216,0.05937381327534829,0.7459587900333253,0.6652437528164209,1
14,Retail,Other,24653,9465,12091,294,5058,2168,0.19615395161835375,0.13023054987066882,0.3555111665729349,0.1442177849516532,0.6716997036238878,0.7605400813714223,1
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.20604613498047025,-0.11610486588018876,-0.3543552000608612,-0.11021859390248892,-0.5245171920456188,-0.34778855844424866,0
16,Retail,Other,1020,8816,12121,134,4508,1080,0.2274828041034752,-0.28469273656532,0.3226356449874316,-0.4722189977111656,0.8519358136546634,-0.546035266732378,1
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.07176423537634714,-0.0875503873566996,-0.07000249896230751,-0.09035047264311913,-0.033220293296646934,-0.1149311364462004,0
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.03992590448697314,0.08402689619844292,0.11654191916216393,0.11785312476009355,0.38766037522140107,0.8429922154646656,4
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.04484567184704727,-0.1851956296045372,-0.12022755406904632,-0.2835482007710935,0.044765436443673916,-0.5527699503922411,0
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.11095404619357684,0.03344697483640411,-0.14690021076745388,0.09957113896938698,-0.3075208902858988,0.4431883052888924,0
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.24353177280560864,-0.1131100670948574,-0.3995107138663487,-0.0926408201774206,-0.6188073618880087,-0.3876127760478731,0
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.06805144353149092,0.5381913850229696,0.20435998773200145,0.6356359259636722,-0.15600433489142088,1.0050370853124675,3
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.4514279462992258,0.4340437448097883,0.3902661572691497,0.25694960257342203,0.7065213342862839,0.6250312465235662,3
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.26356482638519285,0.2284983286687023,0.4278165407333481,0.22478368660722733,0.6516647402081209,0.8093177360160556,3
25,Retail,Other,16165,4230,7595,201,4003,57,-0.023400880290824468,-0.05949553065770308,-0.03163512873405405,-0.07255095160998658,0.11452974129428214,0.06812692646640407,0
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.2497047669045732,-0.04868561676100605,-0.40014060362739423,0.00853541469734833,-0.7423357127810758,-0.17657511608256213,0
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458861,-0.027513499020590096,-0.3700525126455124,0.05391791921403444,-0.6391505057184972,-0.07438347274703094,0
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909501,0.04020315600901949,0.7016207368605808,0.07310145750804095,1.124945328050573,0.21303748583376186,2
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.12638479479376746,0.5346064697582527,0.18268354738980785,0.6814840445911234,-0.27649261022401883,0.8502143237539176,3
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.007407037413694821,0.06725798705065196,0.04311921712672606,0.11745335924201455,0.16493083317346766,0.6234542505990079,4
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.14954951184126347,-0.19973477021747024,-0.2947866262456746,-0.2721066923785619,-0.32028322774489426,-0.6543615200910099,0
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.2268519676811981,0.10124602462623557,-0.2515720524686855,0.2660610840718822,-0.5331976714561585,0.3096951135050879,4
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.1282850581623546,0.3998990975053439,0.0418235028907644,0.6263327105684743,-0.2657127763492741,1.0160176758685076,4
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.1891955365156336,-0.2338404951337585,-0.33950761274923474,-0.2859829888576615,-0.3553345601724852,-0.6617378578423456,0
35,Retail,Other,688,5491,11091,833,4239,436,0.12567680076707416,-0.2926489592380956,0.15318548998698026,-0.4720462749746823,0.6000385488030897,-0.6994720898570789,1
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.07490778440677777,0.3587250569986075,0.11579078334966646,0.5158516314924014,-0.1089655907629359,0.8729278267080999,4
37,Retail,Other,15168,10556,12477,1920,6506,714,0.2779010566489662,-0.045145956281025384,0.4474462104001666,-0.15055607597941165,1.0110854714933877,0.3545071689871434,1
38,Retail,Other,4591,15729,16709,33,6956,433,0.5088895400207489,-0.17992972966704668,0.6931422223897346,-0.27107464556930283,1.066999096572845,-0.08668972605110868,2
39,HoReCa,Other,56159,555,902,10002,212,2916,0.0011534773885987875,0.8220882021752699,0.38129056315361054,0.5589487619332957,-0.2658160897709318,1.0520557688481054,3
40,HoReCa,Other,24025,4332,4757,9510,1145,5864,-0.032239955548381376,0.4461745338424912,0.2115296314258811,0.5158501567286049,-0.0706633043811793,0.8768592401126599,3
41,HoReCa,Other,19176,3065,5956,2033,2575,2802,-0.09802047435051144,0.09632757038358687,-0.09230035545523266,0.19668690026864866,-0.22676153440559005,0.6812704745370022,4
42,Retail,Other,10850,7555,14961,188,6899,46,0.29889717776416963,-0.15737636426047766,0.4630010122647914,-0.2927065312654559,0.9339095988837433,-0.04149593103471525,1
